country;ISO3;region;african_union;arab_states;BRICS;EU;G20;OECD;CPI_score_2017;standard_error_2017;lower_CI_2017;upper_CI_2017;number_sources_2017;CPI_score_2012;standard_error_2012;number_sources_2012;CPI_score_2013;standard_error_2013;number_sources_2013;CPI_score_2014;standard_error_2014;number_sources_2014;CPI_score_2015;standard_error_2015;number_sources_2015;CPI_score_2016;standard_error_2016;number_sources_2016;world_bank_CPIA;world_economic_forum_EOS;global_insight_country_risk_ratings;bertelsmann_foundation_transformation_index;african_development_bank_CPIA;IMD_world_competitiveness_yearbook;bertelsmann_foundation_sustainable_governance_index;world_justice_project_rule_of_law_index;PRS_international_country_risk_guide;varieties_of_democracy_project;economist_intelligence_unit_country_ratings;freedom_house_nations_in_transit_ratings;PERC_asia_risk_guide
Vietnam;VNM;AP;0;0;0;0;0;0;35;2.78;30;40;8;31;2.5;8;31;2.6;8;31;2.5499999523;8;31;2.5599999428;8;33;2.46;8;0;35;35;29;0;0;0;37;38;47;20;0;37
Philippines;PHL;AP;0;0;0;0;0;0;34;1.9;31;37;9;34;2.2;9;36;2.5;9;38;1.8400000334;8;35;1.9199999571;8;35;1.58;9;0;24;35;37;0;33;0;27;41;38;37;0;39
Algeria;DZA;MENA;1;1;0;0;0;0;33;2.32;29;37;6;34;3.3;6;36;2.8;6;36;2.0599999428;5;36;1.8500000238;5;34;2.94;6;0;34;22;37;0;0;0;0;32;37;37;0;0
Bolivia;BOL;AME;0;0;0;0;0;0;33;2.98;28;38;6;34;3.7;7;34;3.7;7;35;2.9800000191;7;34;3.5799999237;7;33;2.85;8;0;0;35;37;0;0;0;19;32;38;37;0;0
El Salvador;SLV;AME;0;0;0;0;0;0;33;3.25;28;38;7;38;2.8;6;38;2;6;39;1.9800000191;6;39;2.2599999905;6;36;2.76;7;0;21;22;45;0;0;0;32;34;38;37;0;0
Maldives;MDV;AP;0;0;0;0;0;0;33;1.71;30;36;3;0;0;0;0;0;0;0;0;0;0;0;0;36;5.66;3;35;0;35;0;0;0;0;0;0;30;0;0;0
Niger;NER;SSA;1;0;0;0;0;0;33;3.27;28;38;6;33;3.1;5;34;3.7;5;35;3.9900000095;5;34;4.1599998474;5;35;3.25;5;35;0;35;37;44;0;0;0;24;24;0;0;0
Ecuador;ECU;AME;0;0;0;0;0;0;32;2.66;28;36;7;32;2.9;6;35;3.6;6;33;3.5599999428;5;32;2.8599998951;6;31;1.96;6;0;23;22;37;0;0;0;34;32;41;37;0;0
Egypt;EGY;MENA;1;1;0;0;0;0;32;4.04;25;39;7;32;3.1;7;32;3.1;7;37;2.9100000858;6;36;2.4700000286;6;34;2.72;6;0;50;22;33;0;0;0;30;32;17;37;0;0
Gabon;GAB;SSA;1;0;0;0;0;0;32;3.22;27;37;4;35;2.1;5;34;1.5;5;37;4.1900000572;4;34;1.6499999762;4;35;0.97;4;0;0;35;0;0;0;0;0;32;22;37;0;0
Pakistan;PAK;AP;0;0;0;0;0;0;32;2.11;29;35;8;27;2.3;8;28;3;8;29;3.2400000095;7;30;3.1199998856;7;32;2.12;7;35;39;35;25;0;0;0;29;32;22;37;0;0
Togo;TGO;SSA;1;0;0;0;0;0;32;3.29;27;37;6;30;3.4;5;29;3.7;5;29;3.6900000572;5;32;3.0399999619;5;32;4.21;5;27;0;47;33;24;0;0;0;32;28;0;0;0
Azerbaijan;AZE;ECA;0;0;0;0;0;0;31;5.64;22;40;7;27;2.5;6;28;3.5;6;29;3.0199999809;6;29;3.25;6;30;5.13;7;0;52;47;25;0;0;0;0;24;10;37;21;0
Djibouti;DJI;SSA;1;1;0;0;0;0;31;5.32;22;40;4;36;8.6;3;36;8.6;3;34;9.1000003815;3;34;9.0699996948;3;30;8.23;3;27;0;47;0;24;0;0;0;0;26;0;0;0
Kazakhstan;KAZ;ECA;0;0;0;0;0;0;31;3.59;25;37;9;28;4.1;8;26;3.3;8;29;4.4000000954;8;28;4.9000000954;8;29;3.35;9;0;36;35;25;0;55;0;34;24;24;20;24;0
Liberia;LBR;SSA;1;0;0;0;0;0;31;3.24;26;36;8;41;3.9;7;38;3.3;7;37;3.0899999142;6;37;4.2199997902;7;37;3.43;7;35;30;22;41;39;0;0;20;41;20;0;0;0
Malawi;MWI;SSA;1;0;0;0;0;0;31;1.85;28;34;9;37;1.5;8;37;1.7;8;33;3.0299999714;8;31;2.4100000858;8;31;2.11;9;27;27;35;37;37;0;0;34;32;32;20;0;0
Mali;MLI;SSA;1;0;0;0;0;0;31;2.08;28;34;7;34;4;6;28;3.3;6;32;3.3699998856;6;35;1.8899999857;6;32;1.75;6;35;22;35;33;34;0;0;0;32;23;0;0;0
Nepal;NPL;AP;0;0;0;0;0;0;31;2;28;34;6;27;2.4;5;31;1.4;5;29;2.2000000477;5;27;2.7300000191;5;29;2.33;6;35;35;35;25;0;0;0;32;0;25;0;0;0
Moldova;MDA;ECA;0;0;0;0;0;0;31;1.54;28;34;9;36;2.6;8;35;2.8;8;35;2.7000000477;8;33;2.8800001144;8;30;2.18;9;27;29;35;33;0;0;0;28;32;22;37;33;0
